No.,fecha,ID,Nombre,lluvia,ID_INSIVUMEH,Latitud,Longitud
1,2024-01-02,INS130501AT,NENTON,0.0,INSDMCL1305001CONV,15.80267,-91.75319
2,2024-01-03,INS130501AT,NENTON,0.0,INSDMCL1305001CONV,15.80267,-91.75319
3,2024-01-04,INS130501AT,NENTON,0.0,INSDMCL1305001CONV,15.80267,-91.75319
4,2024-01-05,INS130501AT,NENTON,0.0,INSDMCL1305001CONV,15.80267,-91.75319
5,2024-01-06,INS130501AT,NENTON,0.0,INSDMCL1305001CONV,15.80267,-91.75319
6,2024-01-07,INS130501AT,NENTON,0.0,INSDMCL1305001CONV,15.80267,-91.75319
7,2024-01-08,INS130501AT,NENTON,0.0,INSDMCL1305001CONV,15.80267,-91.75319
8,2024-01-09,INS130501AT,NENTON,0.0,INSDMCL1305001CONV,15.80267,-91.75319
9,2024-01-10,INS130501AT,NENTON,0.0,INSDMCL1305001CONV,15.80267,-91.75319
10,2024-01-11,INS130501AT,NENTON,0.0,INSDMCL1305001CONV,15.80267,-91.75319
11,2024-01-12,INS130501AT,NENTON,0.0,INSDMCL1305001CONV,15.80267,-91.75319
12,2024-01-13,INS130501AT,NENTON,0.0,INSDMCL1305001CONV,15.80267,-91.75319
13,2024-01-14,INS130501AT,NENTON,0.0,INSDMCL1305001CONV,15.80267,-91.75319
