No.,fecha,ID,Nombre,lluvia,tmin,tseca,tmax,eva_tan,hum_rel,nub,vel_viento,dir_viento,pre_atmos,ID_INSIVUMEH,Latitud,Longitud,Altitud
1,2025-01-23,INS170101CV,FLORES AEROPUERTO,0.1,18.6,21.2,24.6,2.4,83.0,7.0,3.0,315.0,755.8,INSDMCL1701001CONV,16.916093,-89.86686,123.0
2,2025-01-24,INS170101CV,FLORES AEROPUERTO,15.4,18.6,19.9,22.4,3.1,94.0,8.0,9.9,315.0,756.8,INSDMCL1701001CONV,16.916093,-89.86686,123.0
3,2025-01-25,INS170101CV,FLORES AEROPUERTO,1.0,18.4,22.1,26.6,3.4,83.0,6.0,6.2,90.0,756.5,INSDMCL1701001CONV,16.916093,-89.86686,123.0
4,2025-01-26,INS170101CV,FLORES AEROPUERTO,0.0,16.0,22.9,29.4,4.0,83.0,5.0,3.1,90.0,754.9,INSDMCL1701001CONV,16.916093,-89.86686,123.0
5,2025-01-27,INS170101CV,FLORES AEROPUERTO,3.9,21.0,23.9,29.0,3.0,88.0,7.0,6.2,180.0,753.0,INSDMCL1701001CONV,16.916093,-89.86686,123.0
6,2025-01-28,INS170101CV,FLORES AEROPUERTO,0.0,21.6,25.7,31.0,4.8,82.0,6.0,8.5,90.0,751.9,INSDMCL1701001CONV,16.916093,-89.86686,123.0
7,2025-01-29,INS170101CV,FLORES AEROPUERTO,1.0,19.4,25.8,33.0,6.0,84.0,5.0,5.6,90.0,751.3,INSDMCL1701001CONV,16.916093,-89.86686,123.0
8,2025-01-30,INS170101CV,FLORES AEROPUERTO,0.2,21.0,26.1,33.0,4.0,84.0,5.0,4.4,90.0,750.0,INSDMCL1701001CONV,16.916093,-89.86686,123.0
9,2025-01-31,INS170101CV,FLORES AEROPUERTO,0.0,19.4,26.6,32.6,1.4,79.0,5.0,6.8,135.0,750.4,INSDMCL1701001CONV,16.916093,-89.86686,123.0
10,2025-02-01,INS170101CV,FLORES AEROPUERTO,0.0,21.6,26.7,33.0,1.8,75.0,5.0,5.6,90.0,751.8,INSDMCL1701001CONV,16.916093,-89.86686,123.0
