No.,fecha,ID,Nombre,lluvia,nub,vel_viento,dir_viento,ID_INSIVUMEH,Latitud,Longitud,Altitud
1,2024-09-18,INS040801AT,SANTA MARGARITA,5.3,5.0,2.0,90.0,INSDMCL0408001CONV,14.50575,-91.01144,1137.0
2,2024-09-19,INS040801AT,SANTA MARGARITA,39.4,7.0,3.7,90.0,INSDMCL0408001CONV,14.50575,-91.01144,1137.0
3,2024-09-20,INS040801AT,SANTA MARGARITA,0.8,5.0,3.7,360.0,INSDMCL0408001CONV,14.50575,-91.01144,1137.0
4,2024-09-21,INS040801AT,SANTA MARGARITA,0.0,8.0,5.3,90.0,INSDMCL0408001CONV,14.50575,-91.01144,1137.0
5,2024-09-22,INS040801AT,SANTA MARGARITA,39.1,8.0,7.0,360.0,INSDMCL0408001CONV,14.50575,-91.01144,1137.0
6,2024-09-23,INS040801AT,SANTA MARGARITA,0.0,5.0,5.3,90.0,INSDMCL0408001CONV,14.50575,-91.01144,1137.0
7,2024-09-24,INS040801AT,SANTA MARGARITA,15.5,7.0,2.0,90.0,INSDMCL0408001CONV,14.50575,-91.01144,1137.0
8,2024-09-25,INS040801AT,SANTA MARGARITA,33.3,8.0,3.7,90.0,INSDMCL0408001CONV,14.50575,-91.01144,1137.0
9,2024-09-26,INS040801AT,SANTA MARGARITA,1.3,4.0,3.7,90.0,INSDMCL0408001CONV,14.50575,-91.01144,1137.0
10,2024-09-27,INS040801AT,SANTA MARGARITA,19.1,7.0,5.3,360.0,INSDMCL0408001CONV,14.50575,-91.01144,1137.0
11,2024-09-28,INS040801AT,SANTA MARGARITA,2.5,7.0,3.7,90.0,INSDMCL0408001CONV,14.50575,-91.01144,1137.0
12,2024-09-29,INS040801AT,SANTA MARGARITA,8.6,5.0,5.3,90.0,INSDMCL0408001CONV,14.50575,-91.01144,1137.0
13,2024-09-30,INS040801AT,SANTA MARGARITA,84.8,5.0,3.7,90.0,INSDMCL0408001CONV,14.50575,-91.01144,1137.0
14,2024-10-01,INS040801AT,SANTA MARGARITA,5.6,8.0,2.0,90.0,INSDMCL0408001CONV,14.50575,-91.01144,1137.0
15,2024-10-02,INS040801AT,SANTA MARGARITA,49.3,7.0,5.3,360.0,INSDMCL0408001CONV,14.50575,-91.01144,1137.0
16,2024-10-03,INS040801AT,SANTA MARGARITA,7.6,8.0,2.0,90.0,INSDMCL0408001CONV,14.50575,-91.01144,1137.0
17,2024-10-04,INS040801AT,SANTA MARGARITA,0.0,7.0,3.7,90.0,INSDMCL0408001CONV,14.50575,-91.01144,1137.0
18,2024-10-05,INS040801AT,SANTA MARGARITA,3.1,5.0,2.0,90.0,INSDMCL0408001CONV,14.50575,-91.01144,1137.0
19,2024-10-06,INS040801AT,SANTA MARGARITA,14.5,4.0,3.7,90.0,INSDMCL0408001CONV,14.50575,-91.01144,1137.0
20,2024-10-07,INS040801AT,SANTA MARGARITA,2.5,3.0,9.3,90.0,INSDMCL0408001CONV,14.50575,-91.01144,1137.0
21,2024-10-08,INS040801AT,SANTA MARGARITA,9.1,5.0,3.7,90.0,INSDMCL0408001CONV,14.50575,-91.01144,1137.0
22,2024-10-09,INS040801AT,SANTA MARGARITA,0.8,5.0,3.7,90.0,INSDMCL0408001CONV,14.50575,-91.01144,1137.0
23,2024-10-10,INS040801AT,SANTA MARGARITA,5.1,4.0,5.3,90.0,INSDMCL0408001CONV,14.50575,-91.01144,1137.0
24,2024-10-11,INS040801AT,SANTA MARGARITA,0.0,4.0,3.7,90.0,INSDMCL0408001CONV,14.50575,-91.01144,1137.0
25,2024-10-12,INS040801AT,SANTA MARGARITA,0.0,5.0,3.7,90.0,INSDMCL0408001CONV,14.50575,-91.01144,1137.0
26,2024-10-13,INS040801AT,SANTA MARGARITA,21.6,4.0,13.3,90.0,INSDMCL0408001CONV,14.50575,-91.01144,1137.0
27,2024-10-14,INS040801AT,SANTA MARGARITA,77.5,4.0,3.7,90.0,INSDMCL0408001CONV,14.50575,-91.01144,1137.0
28,2024-10-15,INS040801AT,SANTA MARGARITA,31.8,5.0,2.0,90.0,INSDMCL0408001CONV,14.50575,-91.01144,1137.0
29,2024-10-16,INS040801AT,SANTA MARGARITA,59.4,4.0,5.3,90.0,INSDMCL0408001CONV,14.50575,-91.01144,1137.0
30,2024-10-17,INS040801AT,SANTA MARGARITA,,0.0,2.0,90.0,INSDMCL0408001CONV,14.50575,-91.01144,1137.0
